,day,month,roundOzone
0,1,1,290
1,2,1,290
2,3,1,290
3,4,1,290
4,5,1,290
5,6,1,290
6,7,1,290
7,8,1,290
8,9,1,290
9,10,1,290
10,11,1,290
11,12,1,290
12,13,1,290
13,14,1,290
14,15,1,250
15,16,1,250
16,17,1,250
17,18,1,250
18,19,1,250
19,20,1,250
20,21,1,250
21,22,1,250
22,23,1,250
23,24,1,250
24,25,1,250
25,26,1,250
26,27,1,290
27,28,1,290
28,29,1,290
29,30,1,290
30,31,1,290
31,1,2,290
32,2,2,250
33,3,2,290
34,4,2,290
35,5,2,290
36,6,2,290
37,7,2,290
38,8,2,250
39,9,2,250
40,10,2,250
41,11,2,250
42,12,2,290
43,13,2,290
44,14,2,290
45,15,2,290
46,16,2,290
47,17,2,290
48,18,2,290
49,19,2,290
50,20,2,290
51,21,2,290
52,22,2,290
53,23,2,250
54,24,2,250
55,25,2,290
56,26,2,290
57,27,2,290
58,28,2,290
59,1,3,290
60,2,3,290
61,3,3,290
62,4,3,290
63,5,3,290
64,6,3,290
65,7,3,290
66,8,3,290
67,9,3,290
68,10,3,290
69,11,3,290
70,12,3,290
71,13,3,290
72,14,3,290
73,15,3,290
74,16,3,250
75,17,3,250
76,18,3,250
77,19,3,250
78,20,3,250
79,21,3,250
80,22,3,250
81,23,3,250
82,24,3,250
83,25,3,250
84,26,3,250
85,27,3,250
86,28,3,250
87,29,3,250
88,30,3,250
89,31,3,250
90,1,4,250
91,2,4,290
92,3,4,290
93,4,4,290
94,5,4,250
95,6,4,250
96,7,4,290
97,8,4,290
98,9,4,290
99,10,4,290
100,11,4,290
101,12,4,290
102,13,4,290
103,14,4,290
104,15,4,290
105,16,4,290
106,17,4,290
107,18,4,290
108,19,4,290
109,20,4,290
110,21,4,250
111,22,4,250
112,23,4,250
113,24,4,250
114,25,4,250
115,26,4,290
116,27,4,290
117,28,4,290
118,29,4,290
119,30,4,290
120,1,5,290
121,2,5,290
122,3,5,290
123,4,5,290
124,5,5,290
125,6,5,290
126,7,5,290
127,8,5,290
128,9,5,290
129,10,5,290
130,11,5,290
131,12,5,290
132,13,5,290
133,14,5,290
134,15,5,290
135,16,5,290
136,17,5,290
137,18,5,290
138,19,5,290
139,20,5,290
140,21,5,290
141,22,5,290
142,23,5,290
143,24,5,290
144,25,5,290
145,26,5,290
146,27,5,290
147,28,5,331
148,29,5,331
149,30,5,331
150,31,5,290
151,1,6,290
152,2,6,290
153,3,6,290
154,4,6,290
155,5,6,290
156,6,6,331
157,7,6,331
158,8,6,290
159,9,6,290
160,10,6,290
161,11,6,290
162,12,6,290
163,13,6,290
164,14,6,290
165,15,6,290
166,16,6,290
167,17,6,290
168,18,6,290
169,19,6,290
170,20,6,290
171,21,6,290
172,22,6,290
173,23,6,290
174,24,6,290
175,25,6,331
176,26,6,290
177,27,6,290
178,28,6,290
179,29,6,290
180,30,6,290
181,1,7,290
182,2,7,290
183,3,7,290
184,4,7,290
185,5,7,331
186,6,7,331
187,7,7,331
188,8,7,331
189,9,7,331
190,10,7,331
191,11,7,331
192,12,7,331
193,13,7,331
194,14,7,331
195,15,7,331
196,16,7,331
197,17,7,331
198,18,7,331
199,19,7,331
200,20,7,331
201,21,7,331
202,22,7,331
203,23,7,331
204,24,7,331
205,25,7,331
206,26,7,331
207,27,7,331
208,28,7,331
209,29,7,331
210,30,7,331
211,31,7,331
212,1,8,331
213,2,8,331
214,3,8,331
215,4,8,331
216,5,8,331
217,6,8,331
218,7,8,331
219,8,8,331
220,9,8,331
221,10,8,331
222,11,8,331
223,12,8,331
224,13,8,331
225,14,8,331
226,15,8,331
227,16,8,370
228,17,8,370
229,18,8,370
230,19,8,370
231,20,8,370
232,21,8,370
233,22,8,331
234,23,8,331
235,24,8,331
236,25,8,331
237,26,8,331
238,27,8,331
239,28,8,331
240,29,8,331
241,30,8,331
242,31,8,331
243,1,9,331
244,2,9,370
245,3,9,370
246,4,9,370
247,5,9,370
248,6,9,370
249,7,9,370
250,8,9,331
251,9,9,331
252,10,9,331
253,11,9,331
254,12,9,331
255,13,9,331
256,14,9,370
257,15,9,370
258,16,9,370
259,17,9,370
260,18,9,370
261,19,9,370
262,20,9,370
263,21,9,370
264,22,9,370
265,23,9,370
266,24,9,331
267,25,9,331
268,26,9,331
269,27,9,331
270,28,9,331
271,29,9,331
272,30,9,331
273,1,10,331
274,2,10,331
275,3,10,331
276,4,10,331
277,5,10,331
278,6,10,331
279,7,10,331
280,8,10,331
281,9,10,370
282,10,10,370
283,11,10,370
284,12,10,370
285,13,10,370
286,14,10,331
287,15,10,331
288,16,10,331
289,17,10,331
290,18,10,331
291,19,10,331
292,20,10,331
293,21,10,331
294,22,10,331
295,23,10,331
296,24,10,331
297,25,10,331
298,26,10,331
299,27,10,331
300,28,10,331
301,29,10,331
302,30,10,331
303,31,10,331
304,1,11,331
305,2,11,331
306,3,11,331
307,4,11,331
308,5,11,370
309,6,11,331
310,7,11,331
311,8,11,331
312,9,11,331
313,10,11,331
314,11,11,331
315,12,11,331
316,13,11,331
317,14,11,331
318,15,11,331
319,16,11,331
320,17,11,331
321,18,11,331
322,19,11,331
323,20,11,331
324,21,11,331
325,22,11,331
326,23,11,331
327,24,11,331
328,25,11,331
329,26,11,290
330,27,11,290
331,28,11,290
332,29,11,290
333,30,11,331
334,1,12,331
335,2,12,331
336,3,12,331
337,4,12,290
338,5,12,290
339,6,12,290
340,7,12,290
341,8,12,290
342,9,12,290
343,10,12,290
344,11,12,290
345,12,12,290
346,13,12,290
347,14,12,290
348,15,12,290
349,16,12,290
350,17,12,290
351,18,12,290
352,19,12,290
353,20,12,290
354,21,12,290
355,22,12,290
356,23,12,290
357,24,12,290
358,25,12,290
359,26,12,290
360,27,12,290
361,28,12,290
362,29,12,290
363,30,12,290
364,31,12,290
365,29,2,290
