Y,X,data_payload_id,instance_datetime,url,agency,platform_type,platform_id,platform_name,gaw_id,instrument_name,instrument_model,instrument_number,monthly_date,monthly_columno3,monthly_stddevo3,monthly_npts,daily_date,daily_wlcode,daily_obscode,daily_columno3,daily_stddevo3,daily_utc_begin,daily_utc_end,daily_utc_mean,daily_nobs,daily_mmu,daily_columnso2,latest_observation,country
-37.8,144.967,1806346,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-02,0,0,293.3,2.9,0.63,6.13,,3,,,0,AUS
-37.8,144.967,1806347,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-03,0,0,284.5,5.8,-2.13,7.47,,12,,,0,AUS
-37.8,144.967,1806357,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-13,0,0,293.5,6.4,0.39,2.44,,2,,,0,AUS
-37.8,144.967,1806348,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-04,0,0,274.3,6.1,0.28,7.48,,3,,,0,AUS
-37.8,144.967,1806371,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-27,0,0,268.9,6.0,-1.98,6.98,,9,,,0,AUS
-37.8,144.967,1806349,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-05,0,0,274.3,8.3,-1.03,5.90,,3,,,0,AUS
-37.8,144.967,1806350,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-06,0,0,283.0,4.4,-0.28,5.13,,3,,,0,AUS
-37.8,144.967,1806351,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-07,0,0,287.3,2.7,-1.70,6.64,,7,,,0,AUS
-37.8,144.967,1806372,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-28,0,0,286.5,3.8,0.09,4.71,,6,,,1,AUS
-37.8,144.967,1806370,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-26,0,0,266.8,5.0,-2.15,6.28,,10,,,0,AUS
-37.8,144.967,1806360,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-16,0,0,293.3,4.6,1.03,7.50,,7,,,0,AUS
-37.8,144.967,1806345,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-01,0,0,289.2,5.6,-2.51,6.93,,9,,,0,AUS
-37.8,144.967,1806369,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-25,0,5,277.2,9.8,-1.47,6.03,,6,,,0,AUS
-37.8,144.967,1806368,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-24,0,2,261.0,0.0,-2.18,-2.18,,1,,,0,AUS
-37.8,144.967,1806367,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-23,0,0,266.0,0.0,4.75,4.75,,1,,,0,AUS
-37.8,144.967,1806366,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-22,0,4,266.0,0.0,5.48,5.48,,1,,,0,AUS
-37.8,144.967,1806365,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-21,0,0,263.0,5.7,-1.92,0.02,,2,,,0,AUS
-37.8,144.967,1806364,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-20,0,0,270.2,1.9,-1.80,4.83,,6,,,0,AUS
-37.8,144.967,1806358,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-14,0,0,295.0,0.0,0.16,0.16,,1,,,0,AUS
-37.8,144.967,1806363,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-19,0,0,274.0,0.0,6.60,6.60,,1,,,0,AUS
-37.8,144.967,1806362,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-18,0,0,274.5,2.1,-0.81,-0.23,,2,,,0,AUS
-37.8,144.967,1806361,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-17,0,0,280.3,4.3,-2.40,7.33,,9,,,0,AUS
-37.8,144.967,1806352,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-08,0,0,277.3,2.1,1.23,5.48,,3,,,0,AUS
-37.8,144.967,1806353,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-09,0,0,280.2,5.1,4.41,7.22,,5,,,0,AUS
-37.8,144.967,1806354,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-10,0,0,272.5,6.4,-1.99,6.29,,2,,,0,AUS
-37.8,144.967,1806355,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-11,0,0,292.0,0.0,4.74,4.74,,1,,,0,AUS
-37.8,144.967,1806356,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-12,0,0,287.0,0.0,1.34,1.34,,1,,,0,AUS
-37.8,144.967,1806359,2018/02/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180201.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-02-01,279.3,10.1,28,2018-02-15,0,0,289.0,0.0,-0.63,-0.63,,1,,,0,AUS
-37.8,144.967,1806252,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-16,0,0,279.4,8.9,-2.16,7.51,,10,,,0,AUS
-37.8,144.967,1806253,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-17,0,0,268.5,2.1,-0.23,3.16,,2,,,0,AUS
-37.8,144.967,1806254,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-18,0,0,265.5,6.4,-2.60,3.04,,2,,,0,AUS
-37.8,144.967,1806248,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-12,0,4,301.6,17.8,-2.37,6.18,,10,,,0,AUS
-37.8,144.967,1806256,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-20,0,3,275.7,9.5,-2.08,5.80,,3,,,0,AUS
-37.8,144.967,1806257,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-21,0,0,283.0,0.0,4.61,4.61,,1,,,0,AUS
-37.8,144.967,1806258,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-22,0,0,288.5,3.3,-0.68,7.83,,8,,,0,AUS
-37.8,144.967,1806259,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-23,0,0,287.0,4.1,-0.16,7.44,,8,,,0,AUS
-37.8,144.967,1806260,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-24,0,0,293.8,2.1,1.58,5.12,,6,,,0,AUS
-37.8,144.967,1806262,2018/01/01 00:00:00+00,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn253/dobson/2018/20180101.Dobson.Beck.115.ABM.csv,ABM,STN,253,Melbourne,MBN,dobson,Beck,115,2018-01-01,282.7,11.7,31,2018-01-26,0,0,284.0,4.2,0.70,3.65,,2,,,0,AUS
